app_detail_url	country	created_for	data_sources	developers	lang	platforms	source_code_url	summary	technology	title	url
http://data.london.gov.uk/datastore/applications/excel-mapping-template-london-boroughs-and-wards	United Kingdom		[London Borough Profiles (None, United Kingdom) http://data.london.gov.uk/datastore/package/london-borough-profiles], [Ward Profiles and Atlas (None, United Kingdom) http://data.london.gov.uk/datastore/package/ward-profiles-and-atlas]		EN			Have you ever wanted to create a quick thematic map of London but lacked the GIS skills or software to do it yourself?These free mapping tools from the GLA Intelligence Unit allows the user to input their own data to create an instant map that can be copied over into Word or another application of your choice. The user can also copy over the legend, and add labels.The template allows the user to select either 4 or 5 ranges, and it even has a function to change the colours on the map (default colours are blue).UPDATE (14-5-12): The tool now also allows users to input their own ranges, which will override the automatic ranges.Standard borough thematic mapBorough thematic map for categoriesFor the ward map for individual boroughs see list below.Also available is a borough thematic map for categories only (as opposed to numbers).Copyright notice: If you publish these maps, a copyright notice must be included within the report saying: "Contains Ordnance Survey data © Crown copyright and database rights."Ward mapsWard mapping tools for each borough have also been created. Select the borough you require from the list below: All London Wards map with pre-2014 boundaries Barking and Dagenham Barnet Bexley BrentBromleyCamdenCroydonEalingEnfieldGreenwichHackney (pre 2014)Hammersmith and FulhamHaringeyHarrowHaveringHillingdonHounslowIslingtonKensington and Chelsea (pre 2014)Kingston upon ThamesLambethLewishamMertonNewhamRedbridgeRichmond upon ThamesSouthwarkSuttonTower Hamlets (pre 2014)Waltham ForestWandsworthWestminster  New ward boundaries - came into effect from May 2014HackneyKensington and ChelseaTower Hamlets All London wards map 2014 including the new ward boundaries for Hackney, Kensington and Chelsea, and Tower Hamlets following changes in May 2014.NOTE: Excel 2003 users must 'ungroup' the map for it to work.Full instructions are contained within the spreadsheet. If you have any questions about these tools please contact Gareth Piggott.MacrosThe tool works in any version of Excel. But the user MUST ENABLE MACROS, for the features to work. There a some restrictions on functionality in the ward maps in Excel 2003 and earlier - full instructions are included in the spreadsheet.To check whether the macros are enabled in Excel 2003 click Tools, Macro, Security and change the setting to Medium. Then you have to re-start Excel for the changes to take effect. When Excel starts up a prompt will ask if you want to enable macros - click yes.In Excel 2007 and later, it should be set by default to the correct setting, but if it has been changed, click on the Windows Office button in the top corner, then Excel options (at the bottom), Trust Centre, Trust Centre Settings, and make sure it is set to 'Disable all macros with notification'. Then when you open the spreadsheet, a prompt labelled 'Options' will appear at the top for you to enable macros. To create your own thematic borough maps in Excel using the ward map tool as a starting point, read these instructions. You will need to be a confident Excel user, and have access to your boundaries as a picture file from elsehwere. The mapping tools created here are all fully open access with no passwords.		Excel Mapping Template for London Boroughs, and Wards	http://data.london.gov.uk/visualisations/Mapping-template-for-London-boroughs.xls	
http://data.london.gov.uk/datastore/applications/gla-health-survey-infographics	United Kingdom		[GLA Poll Results (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-poll-results]		EN			Over 660 Talk London users took part in the GLA's online health survey during March 2014. This explored people’s experiences of health services, views on health policies and health behaviours. An identical telephone poll with 1000 Londoners also ran between 14 and 16 March. The results will be used by the Mayor’s Health Team and the London Health Commission to inform their recommendations on improving health in London. The following infographics summarise the key findings:     		GLA Health Survey Infographics	http://talklondon.london.gov.uk/	
http://data.london.gov.uk/londons-economy-today	United Kingdom				EN			 GLAECONOMICS LONDON’SECONOMYTODAY  This page contains additional data from the latest edition of London's Economy Today.    London's Economy Today is a monthly e-zine featuring the most up to date information on the state of London's economy. It is published towards the end of every month.  Each issue provides an interpretation of the latest economic developments and how this may affect policy for London. It features a wide range of London and UK economic indicators. It always includes the latest public transport usage data, which is a useful and timely indicator of economic activity in London.  Other economic indicators covered regularly include employment growth, unemployment, GVA growth, new orders, house prices, and consumer confidence. The LET presence on Datastore aims to create more interaction and a greater personal focus for London’s Economy Today.  Initially the plan is to ‘start small’ and build upon the new feature whilst also allowing for the incorporation of feedback and views from the readership.		London's Economy Today	http://data.london.gov.uk/documents/LETMay_14.pdf 	
http://data.london.gov.uk/datastore/applications/custom-age-range-creator-tool-gla-population-projections-borough	United Kingdom		[GLA Population Projections 2009 Round (revised), London Plan, Borough SYA (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-population-projections-2009-round-revised-london-plan-borough-sya], [GLA Population Projections 2009 Round (revised), SHLAA, Borough SYA (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-population-projections-2009-round-revised-shlaa-borough-sya], [GLA Population Projections 2010 Round, SHLAA, Borough SYA (None, United Kingdom) http://data.london.gov.uk/datastore/package/popproj-2010rnd-shlaa-borough-sya], [GLA Population Projections 2011 Round, SHLAA, Borough SYA (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-population-projections-2011-round-shlaa-borough-sya], [GLA Population Projections 2011 Round, SHLAA, High Fertility, Borough SYA (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-population-projections-2011-round-shlaa-high-fertility-borough-sya], [GLA Demographic Projections (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-demographic-projections], [GLA Population Projections 2012 Round, SHLAA, Borough SYA (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-population-projections-2012-round-shlaa-borough-sya], [GLA Population Projections 2012 Round, Trend Based, Borough SYA (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-population-projections-2012-round-trend-based-borough-sya], [GLA Population Projections 2012 Round, SHLAA, Borough SYA - incorporating DCLG 2011 household formation rates (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-population-projections-2012-round-shlaa-borough-sya-incorporating-dclg-2011-ho], [GLA 2013 round population and household projections (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-2013-round-population-and-household-projections]		EN			February 2014Excel age range creator for GLA Projections dataThis Excel based tool enables users to query the raw single year of age data so that any age range can easily be calculated without having to carry out often complex, and time consuming formulas that could also be open to human error.  Each year the GLA demography team produce sets of population projections. On this page each of these datasets since 2009 can be accessed, though please remember that the older versions have been superceded.   From 2012, data includes population estimates and projections between 2001 and 2041 for each borough plus Central London (Camden, City of London, Kensington & Chelsea, and Westminster), Rest of Inner Boroughs, Inner London, Outer London and Greater London.The full raw data by single year of age (SYA) and gender are available as Datastore packages at the links below.How to use the tool: Simply select the lower and upper age range for both males and females (starting in cell C3) and the spreadsheet will return the total population for the range.  Tip: You can copy and paste the boroughs you are interested in to another worksheet by clicking: Edit then Go To (or Control + G), then Special, and Visible cells only. Then simply copy and 'paste values' of the cells to a new location.The London boroughs are: City of London, Barking and Dagenham, Barnet, Bexley, Brent, Bromley, Camden, Croydon, Ealing, Enfield, Greenwich, Hackney, Hammersmith and Fulham, Haringey, Harrow, Havering, Hillingdon, Hounslow, Islington, Kensington and Chelsea, Kingston upon Thames, Lambeth, Lewisham, Merton, Newham, Redbridge, Richmond upon Thames, Southwark, Sutton, Tower Hamlets, Waltham Forest, Wandsworth, Westminster. GLA 2009 Round London Plan Population Projections (January 2010) (SUPERSEDED) GLA 2009 Round (revised) London Plan Population Projections (August 2010)GLA 2009 Round (revised) SHLAA Population Projections (August 2010) (SUPERCEDED)GLA 2010 Round SHLAA Population Projections (February 2011) (SUPERCEDED)GLA 2011 Round SHLAA Population Projections, High Fertility (December 2011) (SUPERCEDED)GLA 2011 Round SHLAA Population Projections, Standard Fertility (January 2012) (SUPERCEDED)GLA 2012 Round SHLAA Population Projections, (December 2012)GLA 2012 Round Trend Based Population Projections, (December 2012) (SUPERCEDED)GLA 2012 Round SHLAA Borough Projections incorporating DCLG 2011 household formation rates, (June 2013)GLA 2013 Round Trend Based Population Projections - High (December 2013)GLA 2013 Round Trend Based Population Projections - Central (December 2013)GLA 2013 Round Trend Based Population Projections - Low (December 2013)GLA 2013 Round SHLAA Based Population Projections (February 2014) Spreadsheet now includes national comparator data from ONS.		Custom Age Range Creator Tool for GLA Population Projections, Borough	http://data.london.gov.uk/visualisations/2009-round-london-plan-sya-custom-age-tool.xls	
http://data.london.gov.uk/datastore/applications/citymapper-travel-app	United Kingdom		[TfL Station Locations (None, United Kingdom) http://data.london.gov.uk/datastore/package/tfl-station-locations], [TfL Cycle Hire Locations (None, United Kingdom) http://data.london.gov.uk/datastore/package/tfl-cycle-hire-locations], [TfL Bus Stop Locations and Routes (None, United Kingdom) http://data.london.gov.uk/datastore/package/tfl-bus-stop-locations-and-routes], [Tube Departure Boards, Line Status and Station status (None, United Kingdom) http://data.london.gov.uk/datastore/package/tfl-tube-status], [TfL Live Bus Arrivals API (None, United Kingdom) http://data.london.gov.uk/datastore/package/tfl-live-bus-arrivals-api]		EN			Citymapper is a transport app for some of the biggest cities in the world including London, New York, Paris and Berlin.It aims to make it as easy as  possible for users to navigate cities, displaying useful information  such as how much each transport method costs, the weather at a chosen  destination and how many calories one would burn if they walked or  cycled. It is designed for residents, visitors and commuters to help them move around the city. In London it includes travel information on buses, tubes, trains, trams, cycles and ferries as well as best walking, and driving routes.		Citymapper Travel App	http://citymapper.com	
http://data.london.gov.uk/datastore/applications/london-tube-station-and-journey-stats	United Kingdom		[TfL Rolling Origin and Destination Survey (None, United Kingdom) http://data.london.gov.uk/datastore/package/tfl-rolling-origin-and-destination-survey]		EN			London Tube Stats maps by Oliver O'Brien from UCL CASA data about how the London Underground is used – how many people use each station at various times of the day, and where they go once they are on the tube. The main view shows the entry/exit data, by time of day, for 2003-2012. Choosing an option from the drop-down menu at the top will vary the circle sizes, the area of each circle representing the numbers. Clicking on a station will reveal a table of the underlying numbers, with colours showing trends. Then there is an additional view that uses the TfL RODS (Rolling Origin Destination Survey) data for 2012, to show journeys. RODS is based on surveyed data that is then scaled up to match the recorded entries/exits from the barriers, and the numbers represent a typical day. Click on a station to mark the place people enter the system, the other stations then shift in size to show where people exit. You can change between the two datasets using the Metric drop-down menu.		London Tube Station and Journey Stats	http://casa.oobrien.com/tube/	
http://data.london.gov.uk/datastore/applications/intelligent-london	United Kingdom		[Young People Not in Employment, Education or Training, Borough (None, United Kingdom) http://data.london.gov.uk/datastore/package/young-people-not-employment-education-or-training-borough], [GCSE Results by Location of Pupil Residence, Borough (None, United Kingdom) http://data.london.gov.uk/datastore/package/gcse-results-location-pupil-residence-borough], [GLA Claimant Count Model Output  (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-claimant-count-model-output], [Apprenticeships Starts and Completions, Region (None, United Kingdom) http://data.london.gov.uk/datastore/package/apprenticeships-starts-and-completions-region], [A-Level Results by Gender and Place of Residence, Borough (None, United Kingdom) http://data.london.gov.uk/datastore/package/level-results-gender-and-place-residence-borough]		EN			Intelligent London is an interactive tool created by London Councils for analysing data on the education and skills of young Londoners.Intelligent London puts the latest data on the education and skills of young people, and presents it in an appealing way. It uses data analysis and visualisation techniques so that those with an interest in supporting and promoting the interests of young people can easily access reliable data.		Intelligent London	http://www.intelligentlondon.org.uk/	
http://data.london.gov.uk/datastore/applications/social-justice-toolkit-borough	United Kingdom		[Unemployment Rate, Region (None, United Kingdom) http://data.london.gov.uk/datastore/package/unemployment-rate-region]		EN			This Social Justice Toolkit presents indicators at local level showing progress towards the five themes set out in the government's Social Justice Outcomes Framework:- Keeping young people on track- The importance of work- Supporting the most disadvantaged adults- Supporting families- Delivering Social JusticeThe government devised the framework to measure progress towards its vision for a society in which local and national services work together to tackle the causes of poverty in the UK, as set out in Social Justice: Transforming Lives, published in March 2012. Presently, the toolkit only covers local authorities in England, but Welsh authorities will be included in the near future. 		Social Justice Toolkit, Borough	http://www.cesi.org.uk/social-justice-toolkit	
http://data.london.gov.uk/datastore/applications/london-borough-comparison-tool-natwest	United Kingdom		[Crime Rates, Borough (None, United Kingdom) http://data.london.gov.uk/datastore/package/crime-rates-borough], [Average Band D Council Tax, Region (None, United Kingdom) http://data.london.gov.uk/datastore/package/average-band-d-council-tax-region], [Average House Prices, Borough (None, United Kingdom) http://data.london.gov.uk/datastore/package/average-house-prices-borough]		EN			Natwest have created a tool that can quickly compare information on average property prices, crime rates, school ratings and more across all the boroughs of London. Click on the criteria, or click on a borough to view all the facts about that specific area. You can select and compare up to 3 boroughs at a time.   		London Borough Comparison Tool from Natwest	http://www.natwest.com/personal/mortgages/area-comparison/london.ashx	
http://data.london.gov.uk/datastore/applications/custom-age-range-creator-tool-gla-ethnic-group-population-projections-borough	United Kingdom		[GLA Demographic Projections (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-demographic-projections], [GLA ethnic group projections 2012 round, SHLAA-based - interim (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-ethnic-group-projections-2012-round-shlaa-based-interim], [GLA ethnic group projections 2012 round, Trend-based - interim (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-ethnic-group-projections-2012-round-trend-based-interim], [GLA ethnic group projections 2012 round, SHLAA-based - final (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-ethnic-group-projections-2012-round-shlaa-based-final], [GLA ethnic group projections 2012 round, Trend-based - final (None, United Kingdom) http://data.london.gov.uk/datastore/package/gla-ethnic-group-projections-2012-round-trend-based-final]		EN			November 2013Excel age range creator for GLA Projections dataThis Excel based tool enables users to query the raw single year of age data so that any age range can easily be calculated without having to carry out often complex, and time consuming formulas that could also be open to human error. The minimum age range permitted is 5 years. The data is then rounded to the nearest 50. These projections are updated each year. From 2012, data includes population estimates and projections between 2001 and 2041 for each borough plus Central London (Camden, City of London, Kensington & Chelsea, and Westminster), Rest of Inner Boroughs, Inner London, Outer London and Greater London.The data by five year age band and gender are available as Datastore packages at the links below. More information about the estimates can also be found there.How to use the tool: Simply select the lower and upper age range for both males and females (starting in cell C3) and the spreadsheet will return the total population for the range.Tip: Select the years, ethnic groups and areas you want and then press Control+A to select all. You can copy and paste the data into a new spreadsheet.The London boroughs are: City of London, Barking and Dagenham, Barnet, Bexley, Brent, Bromley, Camden, Croydon, Ealing, Enfield, Greenwich, Hackney, Hammersmith and Fulham, Haringey, Harrow, Havering, Hillingdon, Hounslow, Islington, Kensington and Chelsea, Kingston upon Thames, Lambeth, Lewisham, Merton, Newham, Redbridge, Richmond upon Thames, Southwark, Sutton, Tower Hamlets, Waltham Forest, Wandsworth, Westminster. GLA 2012 Round SHLAA Ethnic Group Borough Projections - Interim (May 2013)GLA 2012 Round Trend Based Ethnic Group Borough Projections - Interim (May 2013)GLA 2012 Round SHLAA Based Ethnic Group Borough Projections - Final (Nov 2013)GLA 2012 Round Trend Based Ethnic Group Borough Projections - Final (Nov 2013)		Custom Age Range Creator Tool for GLA Ethnic Group Population Projections, Borough	http://data.london.gov.uk/visualisations/2012-round-shlaa-egpp-custom-age-range-creator.xls	
