app_detail_url	country	created_for	data_sources	developers	lang	platforms	source_code_url	summary	technology	title	url
http://www.data.gov/applications?q=&currentpage=1	United States				EN			This interactive visualization allows users to view those regions with low to extremely alarming hunger levels, by year and country, and  download the data.		2012 Global Hunger Index Interactive Map	http://public.tableausoftware.com/views/GHIDashboard/GHI_Dashboard?:embed=y	
http://www.data.gov/applications?q=&currentpage=1	United States				EN			Calculate fares, track buses in real time, plan your trip, find connections to the Rail Runner commuter train and more. (Powered by Albuquerque city data).		ABQ Ride	http://www.cabq.gov/abq-apps/city-apps-listing/abq-ride	
http://www.data.gov/applications?q=&currentpage=1	United States				EN			Explore information and resources about mobile learning.		ADL mLearning Guide	http://apps.usa.gov/adl-mlearning-guide/	
http://www.data.gov/applications?q=&currentpage=1	United States				EN			It takes time to ensure that every emergency siren in Honolulu works properly. Adopt a Siren allows people to look up scheduled siren tests and, if they’re within hearing range, volunteer to report whether the siren worked. (Powered by Hawaii data.)		Adopt a Siren	http://sirens.honolulu.gov/ 	
http://www.data.gov/applications?q=&currentpage=1	United States				EN			A wealth of agricultural R&D investments for developing countries over time is available on this platform. Interactive graphics display such indicators as total agricultural R&D spending and agricultural research staff by country.		Agricultural Science and Technology Indicators	http://www.asti.cgiar.org/data/	
http://www.data.gov/applications?q=&currentpage=1	United States				EN			This application and tool for covering Africa south of the Sahara and South Asia helps policymakers and investors in agricultural water management  assess such issues as smallholder water use and consumption by country and region.		Agriculture Water Management Solutions Investment Visualizer	http://investmentvisualizer.agwater.org/	
http://www.data.gov/applications?q=&currentpage=1	United States				EN			Provides real-time air quality information that you can use to protect your health when planning your day.		AIRNow	http://m.epa.gov/apps/airnow.html	
http://www.data.gov/applications?q=&currentpage=1	United States				EN			Find fueling stations for your alternative fuel vehicle on-the-go with the U.S. Department of Energy's Alternative Fueling Station Locator.		Alternative Fuel Locator	http://apps.usa.gov/alternative-fuel-locator/	
http://www.data.gov/applications?q=&currentpage=1	United States				EN			Find fueling stations for your alternative fuel vehicle on-the-go with the U.S. Department of Energy’s Alternative Fueling Station Locator.		Alternative Fuel Locator	http://apps.usa.gov/alternative-fuel-locator/	
http://www.data.gov/applications?q=&currentpage=1	United States				EN			Mapping application of alternative fueling stations across the U.S. including biodiesel, CNG, E85, hydrogen, LNG.		Alternative Fueling Station Locator	http://www.afdc.energy.gov/afdc/locator/stations/	
