app_detail_url	country	created_for	data_sources	developers	lang	platforms	source_code_url	summary	technology	title	url
http://dati.comune.roma.it/applicazioni/romeview	Italy			Futouring - Filas - Regione Lazio	IT	iOS		RomeVIEW è un' app per iphone e iPad basata sull'integrazione tra Realtà Aumentata, modellazione 3D e cartografia digitale. Con RomeVIEW è possibile visitare Roma ed il suo Museo, il Museo di Roma. Potrete utilizzarla mentre camminate tra le vie della Città Eterna, ma anche mentre vi trovate nelle sale del Museo. RomeVIEW permette di generare percorsi di visita personalizzati e rendere semplicemente fruibili contenuti (testi, immagini, modelli 3D, fotografie storiche, video) provenienti dagli archivi e dalle collezioni del Museo di Roma. Avrete quindi il privilegio di visitare la città tenendo tra le vostre mani il suo Museo. 		RomeVIEW		
http://dati.comune.roma.it/applicazioni/ilazio	Italy			Futouring - Filas - Regione Lazio	IT	iOS		iLazio ti consente di scoprire velocemente tutti i tesori culturali presenti nel Lazio e naturalmente anche a Roma.iLazio identifica immediatamente la tua posizione e ti permette di scegliere i luoghi di maggior interesse culturale intorno a te come monumenti, piazze, palazzi, fontane, musei, chiese e cattedrali, panorami, parchi e giardini.Tutti i luoghi d’interesse artistico, storico e culturale sono corredati da una descrizione, da eventuali oggetti multimediali quali immagini, video e audio e link a pagine di approfondimento. 		iLazio		
http://dati.comune.roma.it/applicazioni/pharmawizard	Italy			Franco Marini	IT	Web		PROPOSTA APPS4ROMAPMI Pharmawizard - The Digital Pharma Awareness, è la prima piattaforma web/mobile italiana in grado di soddisfare:- la necessità d’informazioni su determinati farmaci- Il confronto tra farmaco tradizionale e farmaco equivalente- la localizzazione del farmaco ricercato- l’acquisto del farmaco online tramite un sistema di couponing		Pharmawizard		
http://dati.comune.roma.it/applicazioni/romecloud	Italy			Emanuele Di Pofi	IT	Web		PROPOSTA APPS4ROMAPMI 		RomeCloud		
http://dati.comune.roma.it/applicazioni/romaflitaxi	Italy			Lorenzo Pistilli	IT	Web		PROPOSTA APPS4ROMAPMI RomaFliTaxi (RFT) è un’APP open source che consente di individuare lo stazionamento taxi più prossimo tramite georeferenziazione in zona Roma Capitale. La proposta è aperta a notevoli evoluzioni tramite disponibilità tecnologica e collaborativa dei taxisti		RomaFliTaxi		
http://dati.comune.roma.it/applicazioni/virgilio-open-data-app4roma	Italy			Bruno Piersanti - Matrix spa	IT	Web		PROPOSTA APPS4ROMA GRANDI AZIENDE Il progetto consiste nell’utilizzare i dati opendata di Roma Capitale, presenti sul sito dati.comune.roma.it  e mostrarli «correttamente» all’interno del «sito» e «applicazione» Virgilio		Virgilio Open Data - APP4ROMA		
http://dati.comune.roma.it/applicazioni/arvalia-mobile-guida-turistica-del-municipio-roma-xv-arvalia-portuense	Italy			Antonello Anappo	IT			PROPOSTA APPS4ROMAPMI Applicazione di navigazione nella realtà del Municipio XV di Roma che integra due basi dati: la base dati dei beni culturali del Municipio XV; la base dati georeferenziale di Google Maps (stradale, satellitare, street-wiew).		Arvalia Mobile - Guida turistica del Municipio Roma XV Arvalia-Portuense		
http://dati.comune.roma.it/applicazioni/rometourist	Italy			Michele Piccinni	IT	Web		PROPOSTA APPS4ROMAPMI Applicazione mobile multipiattaforma per l’informazione turistica.  		RomeTourist		
http://dati.comune.roma.it/applicazioni/drop	Italy			Fabrizio Chiolle	IT	Web		PROPOSTA APPS4ROMAPMI DROP ossia “goccia” acronimo di Drupal Roma Open Public descrive un applicazione web open source di tipo CMS (Content Management System) o DMS (Data Management System) che prende spunto da famose distribuzioni di Drupal (www.drupal.org) come ad esempio Data Public (http://datapublic.openlab.ca/datasets) oppure Open Public (http://drupal.org/project/openpublic) per automatizzare il rapido rilascio di diversi formati di dati pubblici e costituire un semplice ed usabile riferimento per qualsiasi pubblica amministrazione voglia attivare senza complesse conoscenze tecniche una piattaforma web dedicata all’Open Data.		DROP		
http://dati.comune.roma.it/applicazioni/romabiblozone	Italy			Lorenzo Pistilli	IT			PROPOSTA APPS4ROMAPMI RomaBiBloZone (RBBZ) è un’APP Capitale e Provincia, fornendo informazioni composizione dei lettori, con attento riferimento agli aspetti sociali e culturali. formato aperto resi disponibili dall’Amministrazione C correlandoli in modo efficace con informazioni generali prelevate dalla rete forma attraente e di facile uso.		RomaBiBloZone		
